name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.rank,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_bb288_00000,0.9880753513969434,0.8782323408412114,0.9886200503907729,0.7339699351246808,0.9274005679955517,0.7504265310604112,0.9672909073908699,0.7364141723703794,0.7616773165964985,-2.8528328089085138,murray_rec_pfc,lr_arprior,2,0.2163894095744779,5,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_bb288_00001,0.9882400235914659,0.8972315797742423,0.9896537877292249,0.8425611664181829,0.9452385156332722,0.6061577453799202,0.9053059448888439,0.30521321166803694,0.318999775593935,-0.8508372548051423,murray_rec_pfc,lr_mvnprior,4,0.4174499965861691,8,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_bb288_00002,0.9881239931285283,0.9046534796088808,0.9896788438869097,0.8705475220804092,0.9079700211950175,0.6720206625631422,0.02684529060293539,-1.9227627987371791,0.026845290602932392,-0.17286255422104466,murray_rec_pfc,lr_arprior,1,0.27026224824102363,8,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_bb288_00003,0.9881289570838123,0.9073037451290562,0.9874006412105321,0.6805333106114654,0.8990873137630409,0.6380254075619796,0.9656269726351273,0.7408092646280473,0.4849235837798331,0.3663857253531273,murray_rec_pfc,lr_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_bb288_00004,0.98777236567808,0.8694962643706795,0.9889109626433186,0.8103162699983781,0.9500848885516195,0.7044699368673348,0.9286062176090933,0.3235369501992501,0.5042441068954829,-0.6510728974265765,murray_rec_pfc,lr_mvnprior,4,0.4742167937922779,8,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_bb288_00005,0.9885057354977422,0.9016993696394328,0.9897916643954472,0.8202661240186371,0.9440479066066857,0.6901292719607631,0.9715257623569153,0.7944136569298327,0.5648550982559453,-0.28830754192473707,murray_rec_pfc,lr_arprior,2,0.41014172899029033,8,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_bb288_00006,0.9880688158455048,0.9052192285092062,0.9895388449629847,0.8584979386958459,0.9082301225411867,0.5865876640805063,0.15324356815753837,-2.127126783549662,0.08441757349570422,-1.3452692897091165,murray_rec_pfc,lr_arprior,2,0.32874775643037685,8,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_bb288_00007,0.9871221986836286,0.888354178860382,0.9884925412813483,0.7834023334205491,0.9639427162638696,0.7284577787661236,0.9135195596249222,0.35495538192769416,0.9135195596249219,0.3530245957518657,murray_rec_pfc,lr_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_bb288_00008,0.9883215978215653,0.8955688336141124,0.9896926723625588,0.8208294653750674,0.9725058524640633,0.7194836603000861,0.9691321229522831,0.760194535144697,0.6290679717519432,-1.8090105301491304,murray_rec_pfc,lr_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_bb288_00009,0.9882369956938245,0.8986249005232223,0.9896140854695281,0.815973952367606,0.9678848527305017,0.7201063160144965,0.9686708706988383,0.7494243853803793,0.5593165466577743,-1.7534464614847325,murray_rec_pfc,lr_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_bb288_00010,0.9855754663568833,0.7998697548144001,0.986160096007966,0.6381072344056162,0.9374973120670289,0.5654185734882379,0.9539618276520025,0.723893298604778,0.4661063219104665,-1.4979521171094383,murray_rec_pfc,lr_arprior,4,0.5768452442025991,8,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
