name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.rank,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_bb288_00000,1.394165192444579,0.2289855398739291,0.8017216922947651,0.46290942191971857,murray_rec_pfc,lr_arprior,2,0.2163894095744779,5,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_bb288_00001,1.3939584608870093,0.2115732585007114,1.0749723326003837,0.8193861878047879,murray_rec_pfc,lr_mvnprior,4,0.4174499965861691,8,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_bb288_00002,1.3939259832304105,0.23573168598614128,1.4062089223019454,1.4062089223019454,murray_rec_pfc,lr_arprior,1,0.27026224824102363,8,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_bb288_00003,1.3943999876668978,0.21993046509857678,0.802512388148554,0.19408954483034763,murray_rec_pfc,lr_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_bb288_00004,1.393935293916475,0.22145982048930235,1.0680430662797695,0.8855308473506484,murray_rec_pfc,lr_mvnprior,4,0.4742167937922779,8,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_bb288_00005,1.393945899488654,0.2315286187473475,0.7995845114762329,0.5382715958126281,murray_rec_pfc,lr_arprior,2,0.41014172899029033,8,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_bb288_00006,1.39398941405621,0.3001155535352942,1.2903232048987758,1.2652647158382415,murray_rec_pfc,lr_arprior,2,0.32874775643037685,8,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_bb288_00007,1.3942085838780958,0.16500552721879108,0.298488176313976,0.2984881763139764,murray_rec_pfc,lr_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_bb288_00008,1.3940744084710863,0.17432802794934824,1.0560984633908317,0.6574765206055393,murray_rec_pfc,lr_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_bb288_00009,1.3940827587484566,0.1731093042166627,1.0562488340152676,0.7139371611243148,murray_rec_pfc,lr_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_bb288_00010,1.3942106220864772,0.24632535147593027,1.0604754370672784,0.5137007104975045,murray_rec_pfc,lr_arprior,4,0.5768452442025991,8,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_bb288_00011,1.471057062646132,1.2889835130563898,1.4844921538014568,1.4860361095956545,murray_rec_pfc,lr_mvnprior,2,0.5818361974762949,5,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_bb288_00012,1.3942951640534764,0.20293198874150087,1.0563916705968253,0.6148886224759319,murray_rec_pfc,lr_arprior,4,0.5030915381233165,2,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_bb288_00013,1.3941441825989487,0.27462054316232243,0.7314544430736222,0.7314544430736218,murray_rec_pfc,lr_mvnprior,1,0.48445715119589994,8,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_bb288_00014,1.39426297085718,0.1691391227864824,1.4911273555536235,1.4547770286442219,murray_rec_pfc,lr_arprior,4,0.5454560360982303,8,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_bb288_00015,1.3940399993747943,0.1867976112740199,0.8015016219872925,0.6550534011973637,murray_rec_pfc,lr_mvnprior,2,0.5289495310172281,8,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_bb288_00016,1.394303579824497,0.3456464157324167,1.3617411663840637,1.3617411663840637,murray_rec_pfc,lr_arprior,1,0.3771011315898126,5,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_bb288_00017,1.3942958517690902,0.19024110381984036,0.8013588869119119,0.6544931492871214,murray_rec_pfc,lr_arprior,2,0.4876879091306961,2,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_bb288_00018,1.3942887102183343,0.2521067276093383,0.23322322904969628,0.23322322904969336,murray_rec_pfc,lr_mvnprior,1,0.22667600350684058,5,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_bb288_00019,1.3942137804165406,0.28306317501825057,1.0591304749533133,0.6651049635708117,murray_rec_pfc,lr_arprior,4,0.296670285637738,2,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
