name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.scale,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_839ca_00000,0.9788751641598961,0.7005284226541755,0.9692904507208036,-0.20871879830346882,0.9014621640121601,-0.06379320008187578,0.4841523735708534,-0.23430989111962353,0.23908326141286385,-1.0773537184691728,murray_recnf_pfc,odinlin_arprior,2,0.2163894095744779,0.05,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_839ca_00001,0.9795033737597757,0.6951828468106,0.9622449750684428,-0.26316303387565404,0.885118394085264,0.397440154716998,0.49792909753935777,-0.20469653562234005,0.12968824713240362,-0.4767394055850701,murray_recnf_pfc,odinlin_mvnprior,4,0.4174499965861691,0.05,20,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_839ca_00002,0.9785613659780498,0.7059558034767345,0.9542356559576025,-0.8805902123337955,0.8365544893659859,-0.37649555190574785,0.14753632643119285,-0.6551117986025276,0.1475363264311822,-0.024859289450551898,murray_recnf_pfc,odinlin_arprior,1,0.27026224824102363,0.05,20,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_839ca_00003,0.9795846603019264,0.7316252144946078,0.948433616285624,-1.1502092061106515,0.9253808321870345,-0.684497518685012,0.4448347731777047,-0.24606072371722473,0.21397022019509304,-2.1022508282259738,murray_recnf_pfc,odinlin_arprior,2,0.2497133105998256,0.05,5,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_839ca_00004,0.9792095593108563,0.7030093313813529,0.9623864062019626,-0.15843240505328135,0.8661982209052329,0.3441431741778092,0.5318432135438567,-0.1299742837624841,0.18046747650450223,-0.6636806423007736,murray_recnf_pfc,odinlin_mvnprior,4,0.4742167937922779,0.05,20,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_839ca_00005,0.9785865048572973,0.6882007393538003,0.9655204548160863,-0.539147809812089,0.8874647320238734,-0.3532734386794501,0.5009360492292081,-0.2327363799011642,0.42208140499028013,-1.02954046142767,murray_recnf_pfc,odinlin_arprior,2,0.41014172899029033,0.05,20,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_839ca_00006,0.9788225513941337,0.6995315089696457,0.9585966791371273,-0.3408912225694726,0.8614645080140525,0.28074375500550913,0.37115706621486944,-0.43092302629986906,0.18188035418189424,-0.32158089901827275,murray_recnf_pfc,odinlin_arprior,2,0.32874775643037685,0.05,20,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_839ca_00007,0.9784404340760086,0.6865102985451124,0.8853900596577803,-6.000131881982458,0.8998292492857051,-7.850187466363993,0.15776856652629467,-0.5444801928996958,0.15776856652627846,-8.105161523807684,murray_recnf_pfc,odinlin_arprior,1,0.44927485787441696,0.05,5,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_839ca_00008,0.978863151867806,0.7337887676140366,0.9430321792008272,-1.4465351111058913,0.904020687288426,-10.150963626114914,0.34304813688656144,-0.4414912099928383,0.16981403389047456,-4.331346786048804,murray_recnf_pfc,odinlin_arprior,4,0.33444682421826416,0.05,5,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_839ca_00009,0.9794735522528655,0.7240353941619603,0.9282967035167375,-3.781713502345502,0.897204463497528,-14.030468934164588,0.30597782077897406,-0.4161990032396663,0.16936678442922826,-4.0633759249945856,murray_recnf_pfc,odinlin_mvnprior,4,0.3618207359286113,0.05,5,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_839ca_00010,0.9780343092055609,0.6516047215609171,0.968361639281637,0.052713139406616365,0.9012582890872632,-0.18182004637386656,0.4763224479843696,-0.19868774413451587,0.2131514375747379,-1.24096903048286,murray_recnf_pfc,odinlin_arprior,4,0.5768452442025991,0.05,20,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_839ca_00011,0.9755341319094375,0.5897095232689388,0.9381971736933823,-2.138588537649798,0.8539493218953866,-9.800481271692068,0.2916638698544969,-0.42723178747198187,0.2054977305571261,-5.0425259677540595,murray_recnf_pfc,odinlin_mvnprior,2,0.5818361974762949,0.05,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_839ca_00012,0.9755594670086812,0.6953226017176337,0.9066886799762093,-4.285050921978527,0.8903975644388513,-22.053133962696965,0.3738481677122495,-0.43339270600628277,0.17624586906805542,-2.88645050485504,murray_recnf_pfc,odinlin_arprior,4,0.5030915381233165,0.05,5,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_839ca_00013,0.9787488315332472,0.6987442908117893,0.9376056325985113,-2.9349906460106436,0.8689907437180497,0.0950019844786648,0.45753592752268957,-0.2559515098013451,0.457535927522693,-0.6209525757943172,murray_recnf_pfc,odinlin_mvnprior,1,0.48445715119589994,0.05,20,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_839ca_00014,0.975457145036729,0.5947015610779774,0.9669317760960648,0.0316527185502942,0.9047599807198553,0.07165350782637908,0.5493010089849436,-0.11811222233329738,0.17205939848307647,-0.7453413228639476,murray_recnf_pfc,odinlin_arprior,4,0.5454560360982303,0.05,20,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_839ca_00015,0.9782292021251797,0.6758169457068175,0.9550187770446228,-0.4234866813160776,0.8810102086656318,0.008791294008675149,0.45256920102544007,-0.27043172659307174,0.24317591248607856,-1.3989667791304974,murray_recnf_pfc,odinlin_mvnprior,2,0.5289495310172281,0.05,20,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_839ca_00016,0.9773270272724925,0.6344101601041602,0.9440995729557149,-2.7724735349060667,0.849291723065587,-1.4697137182360664,0.45002976114879223,-0.356665083194624,0.45002976114878646,0.024206042695589184,murray_recnf_pfc,odinlin_arprior,1,0.3771011315898126,0.05,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_839ca_00017,0.9770164437071941,0.6243288047283098,0.944798821652789,-1.3148248686934876,0.9068510922116502,-9.707346968539179,0.19730243123065272,-0.5130789439776952,0.12635497830243392,-10.50631710050753,murray_recnf_pfc,odinlin_arprior,2,0.4876879091306961,0.05,5,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_839ca_00018,0.9793012830310208,0.7247974973897269,0.8894006955662667,-7.609574228979037,0.8806420765242315,-2.3753111456017524,0.4395126912572934,-0.25327215175400614,0.43951269125729453,-1.320169465796615,murray_recnf_pfc,odinlin_mvnprior,1,0.22667600350684058,0.05,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
