name,latent_procrustes_lin,latent_procrustes_rot,input_procrustes_lin,input_procrustes_rot,datamodule,model,model.co_dim,model.dropout_rate,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_004da_00000,1.1107405074840324,0.3370972356383847,0.8686156204148581,1.1075292073462797,murray_rec_pfc,base_arprior,2,0.2163894095744779,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_004da_00001,1.3110936049004736,0.22653707315142857,1.2756449090437494,1.2370434522211906,murray_rec_pfc,base_mvnprior,4,0.4174499965861691,30,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_004da_00002,1.311098215495192,0.29882621286885985,0.6745432834628646,0.674543283462864,murray_rec_pfc,base_arprior,1,0.27026224824102363,30,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_004da_00003,0.30064406225487883,0.34411826394571426,1.1032324809630123,0.9410532873656267,murray_rec_pfc,base_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_004da_00004,1.3111086927404725,0.19647917190475003,1.0632588289848681,0.7279872381166673,murray_rec_pfc,base_mvnprior,4,0.4742167937922779,30,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_004da_00005,1.3110524869800853,0.353598151543225,0.8034115275014126,0.3797896169369155,murray_rec_pfc,base_arprior,2,0.41014172899029033,30,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_004da_00006,1.3110942936433914,0.31605425468864584,0.8651621075451338,0.41872322835676523,murray_rec_pfc,base_arprior,2,0.32874775643037685,30,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_004da_00007,0.7329471212093162,0.5260390203273974,0.25304820556832325,0.2530482055683206,murray_rec_pfc,base_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_004da_00008,0.1902820455688637,0.19881377343281562,1.0618343201290958,0.5581220446431971,murray_rec_pfc,base_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_004da_00009,0.2581331134242418,0.2647956782927434,1.0615342528745504,0.5254834419242387,murray_rec_pfc,base_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_004da_00010,1.31114872205367,0.1963102904259453,1.0569948561239466,0.5779672066488997,murray_rec_pfc,base_arprior,4,0.5768452442025991,30,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_004da_00011,1.1104759124753811,0.17806016409255546,0.7998462521059552,0.4250364336959209,murray_rec_pfc,base_mvnprior,2,0.5818361974762949,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_004da_00012,0.14012983749975663,0.130727203746863,1.0652065020669228,0.2568055091246494,murray_rec_pfc,base_arprior,4,0.5030915381233165,2,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_004da_00013,1.3111311012427183,0.29600070768022624,0.550384260207989,0.5503842602079888,murray_rec_pfc,base_mvnprior,1,0.48445715119589994,30,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_004da_00014,1.3114264801549245,0.19891433429986977,1.3427589510794347,1.2366517466990197,murray_rec_pfc,base_arprior,4,0.5454560360982303,30,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_004da_00015,1.3111741733420204,0.1960794236030067,0.8027072910991195,0.6369530644848993,murray_rec_pfc,base_mvnprior,2,0.5289495310172281,30,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_004da_00016,1.112457183791837,0.4280402199275702,1.5698446032407742,1.5698446032407742,murray_rec_pfc,base_arprior,1,0.3771011315898126,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_004da_00017,0.40761784701114,0.44932784033108586,0.8084617427579306,0.8055756397230395,murray_rec_pfc,base_arprior,2,0.4876879091306961,2,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_004da_00018,1.1130768935922022,0.38887959791408183,1.5311263785270204,1.5311263785270204,murray_rec_pfc,base_mvnprior,1,0.22667600350684058,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_004da_00019,0.3668606118124715,0.42197025801699783,1.5205594776121982,1.489951881363939,murray_rec_pfc,base_arprior,4,0.296670285637738,2,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
